slug,title,start,end,cash_symbol,cash_label,gold_symbol,gold_label,silver_symbol,silver_label,equity_symbol,equity_label,note
hedged_sp500_2022,Hedged S&P500,2022-01-06,latest,153130.KS,KODEX Short-term Bond,132030.KS,KODEX Gold Futures(H),144600.KS,KODEX Silver Futures(H),219480.KS,KODEX US S&P500 Futures(H),Built-in style hedged S&P500 comparison.
unhedged_sp500_2022,Unhedged S&P500,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),360750.KS,TIGER US S&P500,Gold and equity are unhedged where local ETF history allows.
unhedged_nasdaq_2022,Unhedged Nasdaq100,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),133690.KS,TIGER US Nasdaq100,Equity sleeve uses Nasdaq100 instead of S&P500.
kodex_sp500_2022,KODEX S&P500,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),379800.KS,KODEX US S&P500,Alternate S&P500 provider.
kodex_nasdaq100_2022,KODEX Nasdaq100,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),379810.KS,KODEX US Nasdaq100,Alternate Nasdaq100 provider.
us_dividend_2023,US dividend quality,2023-07-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),458730.KS,TIGER US Dividend Dow Jones,Quality and income US equity comparison.
us_tech_top10_2022,US tech TOP10,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),381170.KS,TIGER US Tech TOP10 INDXX,Concentrated US tech comparison.
us_semiconductor_2022,US semiconductor,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),381180.KS,TIGER US Philadelphia Semiconductor Nasdaq,Semiconductor beta comparison.
domestic_kospi200_2022,KOSPI 200,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),069500.KS,KODEX 200,Domestic equity comparison.
japan_nikkei225_2022,Japan Nikkei225,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),241180.KS,TIGER Japan Nikkei225,Japan equity comparison through Nikkei 225.
