sleeve,role,symbol,label,provider,asset_class,region,currency_exposure,hedged,core_rank,risk_tags,regime_fit,notes,source_url
cash,cash_anchor,153130.KS,KODEX 단기채권,KODEX,bond,Korea,KRW,no,1,defensive;cash;low_vol;short_duration,Defensive;Watch;Data constrained;Balanced,Short KRW bond/cash parking sleeve,https://www.samsungfund.com/etf/product/view.do?id=2ETF35
cash,aggregate_bond,273130.KS,KODEX 종합채권(AA-이상)액티브,KODEX,bond,Korea,KRW,no,2,defensive;bond;quality;duration,Defensive;Watch;Balanced,Korea aggregate bond AA- or above active ETF,https://www.samsungfund.com/etf/product/view.do?id=2ETF88
duration,us_10y_futures,305080.KS,TIGER 미국채10년선물,TIGER,bond,United States,USD rates,no,2,duration;rates;usd;futures,Growth slowdown;Defensive;Watch,US 10-year Treasury futures exposure,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7305080004
duration,us_30y_active_hedged,453850.KS,ACE 미국30년국채액티브(H),ACE,bond,United States,hedged,yes,1,duration;rates;hedged;defensive,Growth slowdown;Defensive;Watch,Hedged long US Treasury bond sleeve,https://www.aceetf.co.kr/fund/K55101E03860
duration,us_30y_ultra_futures_hedged,304660.KS,KODEX 미국30년국채울트라선물(H),KODEX,bond,United States,hedged,yes,3,duration;rates;hedged;futures;high_vol,Growth slowdown;Watch,Hedged ultra-long US Treasury futures sleeve,https://www.samsungfund.com/etf/product/view.do?id=2ETFAA
gold,spot_gold,411060.KS,ACE KRX금현물,ACE,commodity,Korea,KRW gold,no,1,gold;inflation;fx;safe_haven,Inflation/FX hedge;Watch;Balanced,KRX gold spot ETF for the gold hedge sleeve,https://www.aceetf.co.kr/fund/K55101DN7441
gold,gold_futures_hedged,132030.KS,KODEX 골드선물(H),KODEX,commodity,Global,hedged,yes,2,gold;inflation;safe_haven;hedged;futures,Inflation/FX hedge;Defensive;Watch,Hedged gold futures ETF with longer listed history,https://www.samsungfund.com/etf/product/view.do?id=2ETF24
silver,silver_futures_hedged,144600.KS,KODEX 은선물(H),KODEX,commodity,Global,hedged,yes,1,silver;commodity;inflation;high_vol;futures,Inflation/FX hedge;Balanced,Hedged silver futures ETF for the resources sleeve,https://www.samsungfund.com/etf/product/view.do?id=2ETF32
silver,copper_futures_hedged,138910.KS,KODEX 구리선물(H),KODEX,commodity,Global,hedged,yes,2,copper;commodity;growth;cyclical;futures;high_vol,Balanced;Growth recovery,Copper futures ETF for cyclical commodity confirmation,https://www.samsungfund.com/etf/product/view.do?id=2ETF28
equity,us_sp500_core,360750.KS,TIGER 미국S&P500,TIGER,equity,United States,USD unhedged,no,1,equity;core;usd;unhedged,Balanced;Inflation/FX hedge,Unhedged US S&P 500 core equity sleeve,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7360750004
equity,us_sp500_core_alt,379800.KS,KODEX 미국S&P500,KODEX,equity,United States,USD unhedged,no,2,equity;core;usd;unhedged,Balanced;Inflation/FX hedge,Alternate unhedged US S&P 500 core ETF,https://www.samsungfund.com/etf/product/view.do?id=2ETFE4
equity,us_sp500_hedged_futures,219480.KS,KODEX 미국S&P500선물(H),KODEX,equity,United States,hedged,yes,3,equity;core;hedged;futures,Watch;Defensive,Hedged US S&P 500 futures ETF,https://www.samsungfund.com/etf/product/view.do?id=2ETF50
equity,us_nasdaq100_core,133690.KS,TIGER 미국나스닥100,TIGER,equity,United States,USD unhedged,no,1,equity;growth;tech;usd;unhedged,Balanced;Growth,Unhedged NASDAQ 100 core growth ETF,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7133690008
equity,us_nasdaq100_core_alt,379810.KS,KODEX 미국나스닥100,KODEX,equity,United States,USD unhedged,no,2,equity;growth;tech;usd;unhedged,Balanced;Growth,Alternate unhedged NASDAQ 100 ETF,https://www.samsungfund.com/etf/product/view.do?id=2ETFE3
equity,korea_200_core,069500.KS,KODEX 200,KODEX,equity,Korea,KRW,no,2,equity;korea;core;cyclical,Balanced;Korea recovery,KOSPI 200 domestic equity core ETF,https://www.samsungfund.com/etf/product/view.do?id=2ETF01
equity,japan_nikkei225_core,241180.KS,TIGER 일본니케이225,TIGER,equity,Japan,JPY unhedged,no,3,equity;japan;nikkei225;core;cyclical;unhedged,Balanced;Global diversification;Risk-on,Japan Nikkei 225 equity exposure for regional diversification,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7241180009
equity,us_dividend_quality,458730.KS,TIGER 미국배당다우존스,TIGER,equity,United States,USD unhedged,no,2,equity;dividend;quality;defensive;usd;unhedged,Defensive;Watch;Balanced,Unhedged US dividend quality ETF,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7458730009
equity,us_tech_top10,381170.KS,TIGER 미국테크TOP10 INDXX,TIGER,equity,United States,USD unhedged,no,3,equity;growth;tech;high_beta;usd;unhedged,Growth;Balanced,Concentrated US mega-cap tech ETF,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7381170000
equity,us_tech_top10_hedged,472160.KS,TIGER 미국테크TOP10INDXX(H),TIGER,equity,United States,hedged,yes,4,equity;growth;tech;hedged;high_beta,Growth;Watch,Hedged US tech top 10 ETF,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7472160001
equity,us_semiconductor,381180.KS,TIGER 미국필라델피아반도체나스닥,TIGER,equity,United States,USD unhedged,no,5,equity;semiconductor;growth;high_beta;usd;unhedged,Growth;Risk-on,US Philadelphia semiconductor NASDAQ ETF,https://investments.miraeasset.com/tigeretf/ko/product/search/detail/index.do?ksdFund=KR7381180009
