slug,title,start,end,cash_symbol,cash_label,gold_symbol,gold_label,silver_symbol,silver_label,equity_symbol,equity_label,note
isa_max_hedged_sp500,ISA max hedged S&P500,2015-06-06,latest,153130.KS,KODEX Short-term Bond,132030.KS,KODEX Gold Futures(H),144600.KS,KODEX Silver Futures(H),219480.KS,KODEX US S&P500 Futures(H),Longest common period using a hedged S&P500 ETF.
isa_max_unhedged_sp500,ISA max unhedged S&P500,2020-09-06,latest,153130.KS,KODEX Short-term Bond,132030.KS,KODEX Gold Futures(H),144600.KS,KODEX Silver Futures(H),360750.KS,TIGER US S&P500,Longest common period after unhedged S&P500 ETF listing.
isa_max_unhedged_nasdaq100,ISA max unhedged Nasdaq100,2012-03-06,latest,153130.KS,KODEX Short-term Bond,132030.KS,KODEX Gold Futures(H),144600.KS,KODEX Silver Futures(H),133690.KS,TIGER US Nasdaq100,Longest common period using Nasdaq100 equity exposure.
isa_unhedged_gold_sp500,ISA unhedged gold S&P500,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),360750.KS,TIGER US S&P500,Gold and S&P500 use unhedged spot-style domestic ETFs where available.
isa_unhedged_gold_nasdaq100,ISA unhedged gold Nasdaq100,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),133690.KS,TIGER US Nasdaq100,Gold and Nasdaq100 use unhedged spot-style domestic ETFs where available.
isa_kodex_sp500_gold_spot,ISA KODEX S&P500 with spot gold,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),379800.KS,KODEX US S&P500,Alternate S&P500 provider using the spot gold sleeve.
isa_kodex_nasdaq100_gold_spot,ISA KODEX Nasdaq100 with spot gold,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),379810.KS,KODEX US Nasdaq100,Alternate Nasdaq100 provider using the spot gold sleeve.
isa_us_dividend_gold_spot,ISA US dividend quality with spot gold,2023-07-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),458730.KS,TIGER US Dividend Dow Jones,Income and quality tilted US equity sleeve.
isa_us_tech_top10_gold_spot,ISA US tech top10 with spot gold,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),381170.KS,TIGER US Tech TOP10 INDXX,Concentrated US mega-cap tech sleeve.
isa_us_semis_gold_spot,ISA US semiconductor with spot gold,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),381180.KS,TIGER US Philadelphia Semiconductor Nasdaq,High-beta semiconductor sleeve for risk-on tests.
isa_korea200_gold_spot,ISA Korea 200 with spot gold,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),069500.KS,KODEX 200,Domestic KOSPI 200 equity sleeve.
isa_japan_nikkei225_gold_spot,ISA Japan Nikkei225 with spot gold,2022-01-06,latest,153130.KS,KODEX Short-term Bond,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),241180.KS,TIGER Japan Nikkei225,Japan Nikkei 225 equity sleeve for regional diversification.
isa_total_bond_sp500_gold_spot,ISA total bond cash sleeve S&P500,2022-01-06,latest,273130.KS,KODEX Korea Aggregate Bond AA- Active,411060.KS,ACE KRX Gold Spot,144600.KS,KODEX Silver Futures(H),360750.KS,TIGER US S&P500,Uses aggregate bond ETF instead of the short-bond cash sleeve.
